Instance,Difficulty,Class,n,Capacity,TotalWeight,TotalProfit,Method,Value,Time(ms),Nodes,Optimal,OptimalKnown,Gap(%)
03InverseStronglyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,295477,596865,496865,Incomplete_Greedy,263976,0,0,false,-1,-1
04AlmostStronglyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,245972,496865,596913,Complete_FirstFail,297292,60000,3435563,false,-1,-1
04AlmostStronglyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,245972,496865,596913,Complete_DomOverWDeg,295227,60000,1196360,false,-1,-1
04AlmostStronglyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,245972,496865,596913,Complete_MILP_ORTools,316390,49,-1,true,-1,-1
04AlmostStronglyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,245972,496865,596913,Incomplete_LNS,295613,59999,81627863,false,-1,-1
04AlmostStronglyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,245972,496865,596913,Incomplete_Greedy,316338,1,0,false,-1,-1
05SubsetSum_n01000_R01000_s000,difficile,Unknown,1000,245972,496865,496865,Complete_FirstFail,245972,59992,2806688,false,-1,-1
05SubsetSum_n01000_R01000_s000,difficile,Unknown,1000,245972,496865,496865,Complete_DomOverWDeg,245972,60000,1226294,false,-1,-1
05SubsetSum_n01000_R01000_s000,difficile,Unknown,1000,245972,496865,496865,Complete_MILP_ORTools,245972,26,-1,true,-1,-1
05SubsetSum_n01000_R01000_s000,difficile,Unknown,1000,245972,496865,496865,Incomplete_LNS,245972,60004,40856416,false,-1,-1
05SubsetSum_n01000_R01000_s000,difficile,Unknown,1000,245972,496865,496865,Incomplete_Greedy,245972,0,0,false,-1,-1
06UncorrelatedWithSimilarWeights_n01000_R01000_s000,difficile,Unknown,1000,49530184,100050972,496865,Complete_FirstFail,243909,59990,2318474,false,-1,-1
06UncorrelatedWithSimilarWeights_n01000_R01000_s000,difficile,Unknown,1000,49530184,100050972,496865,Complete_DomOverWDeg,254442,59993,1092500,false,-1,-1
06UncorrelatedWithSimilarWeights_n01000_R01000_s000,difficile,Unknown,1000,49530184,100050972,496865,Complete_MILP_ORTools,371246,84,-1,true,-1,-1
06UncorrelatedWithSimilarWeights_n01000_R01000_s000,difficile,Unknown,1000,49530184,100050972,496865,Incomplete_LNS,245882,60000,41175348,false,-1,-1
06UncorrelatedWithSimilarWeights_n01000_R01000_s000,difficile,Unknown,1000,49530184,100050972,496865,Incomplete_Greedy,371246,2,0,false,-1,-1
07SpannerUncorrelated_n01000_R01000_s000,difficile,Unknown,1000,84660,171015,401364,Complete_FirstFail,200200,59989,3593544,false,-1,-1
07SpannerUncorrelated_n01000_R01000_s000,difficile,Unknown,1000,84660,171015,401364,Complete_DomOverWDeg,198640,60005,763091,false,-1,-1
07SpannerUncorrelated_n01000_R01000_s000,difficile,Unknown,1000,84660,171015,401364,Complete_MILP_ORTools,228624,60660,-1,false,-1,-1
07SpannerUncorrelated_n01000_R01000_s000,difficile,Unknown,1000,84660,171015,401364,Incomplete_LNS,198976,60000,83688961,false,-1,-1
07SpannerUncorrelated_n01000_R01000_s000,difficile,Unknown,1000,84660,171015,401364,Incomplete_Greedy,228616,0,0,false,-1,-1
08SpannerWeaklyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,198695,401364,333768,Complete_FirstFail,164207,60000,5354613,false,-1,-1
08SpannerWeaklyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,198695,401364,333768,Complete_DomOverWDeg,165413,60001,1914791,false,-1,-1
08SpannerWeaklyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,198695,401364,333768,Complete_MILP_ORTools,196050,42,-1,true,-1,-1
08SpannerWeaklyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,198695,401364,333768,Incomplete_LNS,166167,60000,80617835,false,-1,-1
08SpannerWeaklyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,198695,401364,333768,Incomplete_Greedy,196050,0,0,false,-1,-1
